"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-06-01_11-51-25-000.f_009.de0","50.72745167710959,6.785366210096566,50.809257200830245,6.791661287179489","50.72745167710959,6.785366210096566","WARNING","A1 | Euskirchen - Erfttal"," Euskirchen -> Köln",22,"STATIONARY_TRAFFIC","22.799999237060547","2025-06-01T11:51:25+02:00","Beginn: 01.06.25 um 11:51 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 11:51 A1: Euskirchen -> Köln, zwischen 6.5 km hinter AS Euskirchen und 0.9 km vor AD Erfttal  Im Stillstand Reisezeitverlust: 22 Minuten Durchschnittsgeschwindigkeit: 22 km/h",50.7274516771096,6.78536621009657
"A1","undefined--vi-avl.2025-06-01_14-18-56-000.f_001.de0","50.72744373647221,6.785359569274777,50.72744373647221,6.785359569274777","50.72744373647221,6.785359569274777","WARNING","A1 | Oberste Heide - Oberste Heide"," Euskirchen -> Köln",NA,"STATIONARY_TRAFFIC","23","2025-06-01T14:47:12+02:00","Beginn: 01.06.25 um 14:47 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 14:47 A1: Euskirchen -> Köln, 1.9 km vor Oberste Heide, aus Richtung Euskirchen  Im Stillstand Durchschnittsgeschwindigkeit: 23 km/h",50.7274437364722,6.78535956927478
"A1","undefined--vi-avl.2025-06-01_10-37-00-000.f_003.de0","51.00944925394094,6.913618572891983,51.037605597671046,6.9845617572499075","51.00944925394094,6.913618572891983","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",13,"STATIONARY_TRAFFIC","21.399999618530273","2025-06-01T10:37:00+02:00","Beginn: 01.06.25 um 10:37 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 10:37 A1: Euskirchen -> Dortmund, zwischen 2.1 km hinter AK Köln-Nord und 1.7 km vor AK Leverkusen  Im Stillstand Reisezeitverlust: 13 Minuten Durchschnittsgeschwindigkeit: 21 km/h",51.0094492539409,6.91361857289198
"A1","undefined--vi-avl.2025-06-01_10-51-30-000.f_001.de0","51.00944925394094,6.913618572891983,51.00944925394094,6.913618572891983","51.00944925394094,6.913618572891983","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"STATIONARY_TRAFFIC","21","2025-06-01T14:47:12+02:00","Beginn: 01.06.25 um 14:47 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 14:47 A1: Köln -> Dortmund, 2.6 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Im Stillstand Durchschnittsgeschwindigkeit: 21 km/h",51.0094492539409,6.91361857289198
"A1","undefined--vi-zus.2025-06-01_14-06-17-000.f.de0","51.28829864653023,7.257013201816567,51.30223850133296,7.262863008942741","51.28829864653023,7.257013201816567","WARNING","A1 | Wuppertal-Langerfeld - Wuppertal-Nord"," Köln -> Dortmund",0,"SLOW_TRAFFIC","52.20000076293945","2025-06-01T14:06:17+02:00","Beginn: 01.06.25 um 14:06 Uhr  Zusammengesetzte Verkehrsinformation, seit 01.06.2025, 14:06 A1: Köln -> Dortmund, zwischen 0.6 km hinter AS Wuppertal-Langerfeld und 1.5 km vor AK Wuppertal-Nord  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 52 km/h",51.2882986465302,7.25701320181657
"A1","undefined--vi-avl.2025-06-01_12-57-52-000.f_023.de0","51.40994646565361,7.496509951090504,51.45497562489671,7.553553539125867","51.40994646565361,7.496509951090504","WARNING","A1 | Hagen-Nord - Schwerte"," Köln -> Dortmund",6,"QUEUING_TRAFFIC","41.20000076293945","2025-06-01T12:57:52+02:00","Beginn: 01.06.25 um 12:57 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 12:57 A1: Köln -> Dortmund, zwischen 1.8 km hinter AS Hagen-Nord und 0.5 km vor AS Schwerte  Stockender Verkehr Reisezeitverlust: 6 Minuten Durchschnittsgeschwindigkeit: 41 km/h",51.4099464656536,7.4965099510905
"A1","undefined--vi-avl.2025-06-01_14-47-12-000.f_003.de0","51.40994646565361,7.496509951090504,51.40994646565361,7.496509951090504","51.40994646565361,7.496509951090504","WARNING","A1 | Lennhof - Lennhof"," Köln -> Dortmund",NA,"QUEUING_TRAFFIC","28","2025-06-01T14:47:12+02:00","Beginn: 01.06.25 um 14:47 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 14:47 A1: Köln -> Dortmund, 0.4 km vor Lennhof, aus Richtung Hagen-Nord  Stockender Verkehr Durchschnittsgeschwindigkeit: 28 km/h",51.4099464656536,7.4965099510905
"A1","undefined--vi-avl.2025-06-01_09-26-30-000.f_002.de0","51.6158464186127,7.690027203110668,51.6158464186127,7.690027203110668","51.6158464186127,7.690027203110668","WARNING","A1 | Kamener Kreuz - Kamener Kreuz"," Münster -> Dortmund",NA,"STATIONARY_TRAFFIC","13","2025-06-01T14:47:12+02:00","Beginn: 01.06.25 um 14:47 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 14:47 A1: Münster -> Dortmund, 1.7 km vor AK Kamener Kreuz, aus Richtung Overberger Busch  Im Stillstand Durchschnittsgeschwindigkeit: 13 km/h",51.6158464186127,7.69002720311067
"A1","undefined--vi-avl.2025-06-01_09-24-00-000.f.de0","51.61577452984175,7.690030876151889,51.582400893592066,7.67837368552128","51.61577452984175,7.690030876151889","WARNING","A1 | Overberger Busch - Kamen-Zentrum"," Münster -> Dortmund",16,"STATIONARY_TRAFFIC","12.600000381469727","2025-06-01T09:24:00+02:00","Beginn: 01.06.25 um 09:24 Uhr  Angespannte Verkehrslage, seit 01.06.2025, 09:24 A1: Münster -> Dortmund, zwischen 0.4 km hinter Overberger Busch und 1.0 km vor AS Kamen-Zentrum  Im Stillstand Reisezeitverlust: 16 Minuten Durchschnittsgeschwindigkeit: 12 km/h",51.6157745298418,7.69003087615189
"A1","undefined--vi-hind.2025-06-01_13-54-50-000.f_002.de0","52.08645698816569,7.647717208321919,52.111519569667536,7.696983389842498","52.08645698816569,7.647717208321919","WARNING","A1 | Greven - Flughafen Münster/Osnabrück"," Münster -> Osnabrück",NA,NA,NA,"2025-06-01T13:54:50+02:00","Beginn: 01.06.25 um 13:54 Uhr  Hindernis, seit 01.06.2025, 13:54 A1: Münster -> Osnabrück, zwischen 0.4 km hinter AS Greven und 0.3 km vor AS Flughafen Münster/Osnabrück  Gefahr durch Personen auf der Fahrbahn",52.0864569881657,7.64771720832192
