"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-19_16-02-17-000.f_020.de0","50.91199043311381,6.846776040816429,50.89698933614579,6.832047914762624","50.91199043311381,6.846776040816429","WARNING","A1 | Frechen - Gleuel"," Köln -> Euskirchen",1,"SLOW_TRAFFIC","48.70000076293945",2025-05-19,"Beginn: 19.05.25 um 16:16 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 16:16 A1: Köln -> Euskirchen, zwischen 0.7 km hinter AS Frechen und 1.5 km vor AS Gleuel  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 48 km/h",50.9119904331138,6.84677604081643
"A1","undefined--vi-avl.2025-05-19_15-26-41-000.f_013.de0","50.986300579133335,6.859214288548371,50.99471841744613,6.883692149846455","50.986300579133335,6.859214288548371","WARNING","A1 | Köln-Bocklemünd - Köln-Nord"," Euskirchen -> Köln",1,"SLOW_TRAFFIC","52.099998474121094",2025-05-19,"Beginn: 19.05.25 um 15:26 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 15:26 A1: Euskirchen -> Köln, zwischen 1.1 km hinter AS Köln-Bocklemünd und 0.6 km vor AK Köln-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 52 km/h",50.9863005791333,6.85921428854837
"A1","undefined--vi-avl.2025-05-19_12-33-21-000.f.de0","51.01062049252134,6.915283625668996,51.03746852887837,6.989980150013996","51.01062049252134,6.915283625668996","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",14,"STATIONARY_TRAFFIC","20.700000762939453",2025-05-19,"Beginn: 19.05.25 um 12:33 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 12:33 A1: Euskirchen -> Dortmund, zwischen 2.3 km hinter AK Köln-Nord und 1.3 km vor AK Leverkusen  Im Stillstand Reisezeitverlust: 14 Minuten Durchschnittsgeschwindigkeit: 20 km/h",51.0106204925213,6.915283625669
"A1","undefined--vi-avl.2025-05-19_16-02-17-000.f_036.de0","50.98677635306815,6.8597117065803905,50.970699201174575,6.849978509747548","50.98677635306815,6.8597117065803905","WARNING","A1 | Köln-Nord - Köln-Lövenich"," Köln -> Euskirchen",1,"SLOW_TRAFFIC","53.900001525878906",2025-05-19,"Beginn: 19.05.25 um 16:02 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 16:02 A1: Köln -> Euskirchen, zwischen 2.5 km hinter AK Köln-Nord und 3.6 km vor AS Köln-Lövenich  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 53 km/h",50.9867763530682,6.85971170658039
"A1","undefined--vi-avl.2025-05-19_15-29-31-000.f_013.de0","51.01062049252134,6.915283625668996,51.01062049252134,6.915283625668996","51.01062049252134,6.915283625668996","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"STATIONARY_TRAFFIC","21",2025-05-19,"Beginn: 19.05.25 um 16:35 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 16:35 A1: Köln -> Dortmund, 2.5 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Im Stillstand Durchschnittsgeschwindigkeit: 21 km/h",51.0106204925213,6.915283625669
"A1","undefined--vi-zus.2025-05-19_16-08-30-000.f.de0","51.28198172657884,7.258625231535592,51.30226530942406,7.262867734258952","51.28198172657884,7.258625231535592","WARNING","A1 | Kucksiepen - Wuppertal-Nord"," Köln -> Dortmund",1,"SLOW_TRAFFIC","50.599998474121094",2025-05-19,"Beginn: 19.05.25 um 16:08 Uhr  Zusammengesetzte Verkehrsinformation, seit 19.05.2025, 16:08 A1: Köln -> Dortmund, zwischen 2.1 km hinter Kucksiepen und 1.5 km vor AK Wuppertal-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 50 km/h",51.2819817265788,7.25862523153559
"A1","undefined--vi-avl.2025-05-19_16-33-27-000.f_003.de0","51.84663854119536,7.582107956662505,51.83406143702281,7.593685510844202","51.84663854119536,7.582107956662505","WARNING","A1 | Münster-Hiltrup - Hohe Heide"," Münster -> Dortmund",1,"SLOW_TRAFFIC","44.900001525878906",2025-05-19,"Beginn: 19.05.25 um 16:33 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 16:33 A1: Münster -> Dortmund, zwischen 4.5 km hinter AS Münster-Hiltrup und 3.0 km vor Hohe Heide  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 44 km/h",51.8466385411954,7.58210795666251
"A1","undefined--vi-avl.2025-05-19_11-40-25-000.f.de0","53.053472664686666,9.047192338094867,53.031460453437994,8.864211532227444","53.053472664686666,9.047192338094867","WARNING","A1 | Tuchten - Bremen-Arsten"," Hamburg -> Osnabrück",18,"QUEUING_TRAFFIC","31.700000762939453",2025-05-19,"Beginn: 19.05.25 um 11:40 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 11:40 A1: Hamburg -> Osnabrück, zwischen 5.5 km hinter Tuchten und 0.4 km vor AS Bremen-Arsten  Stockender Verkehr Reisezeitverlust: 18 Minuten Durchschnittsgeschwindigkeit: 31 km/h",53.0534726646867,9.04719233809487
"A1","undefined--vi-zus.2025-05-19_14-36-54-000.f.de0","53.498134814642334,10.037584036695204,53.50935765711781,10.054228155195757","53.498134814642334,10.037584036695204","WARNING","A1 | Hamburg-Stillhorn - Norderelbbrücke"," Bremen -> Lübeck",1,"SLOW_TRAFFIC","41.400001525878906",2025-05-19,"Beginn: 19.05.25 um 14:36 Uhr  Zusammengesetzte Verkehrsinformation, seit 19.05.2025, 14:36 A1: Bremen -> Lübeck, zwischen 1.8 km hinter Hamburg-Stillhorn und 0.3 km vor Norderelbbrücke  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 41 km/h",53.4981348146423,10.0375840366952
"A1","undefined--vi-avl.2025-05-19_15-56-30-000.f_020.de0","53.70717308452752,10.330700786289578,53.716692811716726,10.337172358567665","53.70717308452752,10.330700786289578","WARNING","A1 | Buddikate - Bargteheide"," Hamburg -> Lübeck",0,"SLOW_TRAFFIC","50.400001525878906",2025-05-19,"Beginn: 19.05.25 um 15:56 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 15:56 A1: Hamburg -> Lübeck, zwischen 1.7 km hinter Buddikate und 0.2 km vor AS Bargteheide  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 50 km/h",53.7071730845275,10.3307007862896
