"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-29_11-13-00-000.f_001.de0","50.49137683870963,6.672023352051805,50.49137683870963,6.672023352051805","50.49137683870963,6.672023352051805","WARNING","A1 | Engelgau - Engelgau"," Euskirchen -> Blankenheim",NA,"STATIONARY_TRAFFIC","12","2025-05-29T12:05:23+02:00","Beginn: 29.05.25 um 12:05 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:05 A1: Euskirchen -> Blankenheim, 0.3 km vor Engelgau, aus Richtung Nettersheim  Im Stillstand Durchschnittsgeschwindigkeit: 12 km/h",50.4913768387096,6.6720233520518
"A1","undefined--vi-avl.2025-05-29_11-10-00-000.f_013.de0","50.77422942283234,6.8179001457896105,50.77422942283234,6.8179001457896105","50.77422942283234,6.8179001457896105","WARNING","A1 | Bliesheim - Bliesheim"," Köln -> Euskirchen",NA,"STATIONARY_TRAFFIC","7","2025-05-29T12:05:23+02:00","Beginn: 29.05.25 um 12:05 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:05 A1: Köln -> Euskirchen, 0.4 km vor AK Bliesheim, aus Richtung Erftstadt  Im Stillstand Durchschnittsgeschwindigkeit: 7 km/h",50.7742294228323,6.81790014578961
"A1","undefined--vi-avl.2025-05-29_10-27-30-000.f_011.de0","50.84466286211747,6.801401858243445,50.84466286211747,6.801401858243445","50.84466286211747,6.801401858243445","WARNING","A1 | Erfttal - Erfttal"," Köln -> Euskirchen",NA,"STATIONARY_TRAFFIC","23","2025-05-29T12:05:23+02:00","Beginn: 29.05.25 um 12:05 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:05 A1: Köln -> Euskirchen, 3.4 km vor AD Erfttal, aus Richtung Hürth  Im Stillstand Durchschnittsgeschwindigkeit: 23 km/h",50.8446628621175,6.80140185824344
"A1","undefined--vi-zus.2025-05-29_09-33-00-000.f.de0","50.84453990127782,6.801342222647438,50.77281548036543,6.819542530435276","50.84453990127782,6.801342222647438","WARNING","A1 | Hürth - Bliesheim"," Köln -> Euskirchen",17,"STATIONARY_TRAFFIC","23.5","2025-05-29T09:33:00+02:00","Beginn: 29.05.25 um 09:33 Uhr  Zusammengesetzte Verkehrsinformation, seit 29.05.2025, 09:33 A1: Köln -> Euskirchen, zwischen 0.4 km hinter AS Hürth und 0.2 km vor AK Bliesheim  Im Stillstand Reisezeitverlust: 17 Minuten Durchschnittsgeschwindigkeit: 23 km/h",50.8445399012778,6.80134222264744
"A1","undefined--vi-avl.2025-05-29_09-54-00-000.f_001.de0","51.01769782816011,6.928642488031257,51.03744273585875,6.987579962706043","51.01769782816011,6.928642488031257","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",9,"QUEUING_TRAFFIC","22.100000381469727","2025-05-29T09:54:00+02:00","Beginn: 29.05.25 um 09:54 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 09:54 A1: Euskirchen -> Dortmund, zwischen 3.5 km hinter AK Köln-Nord und 1.5 km vor AK Leverkusen  Stockender Verkehr Reisezeitverlust: 9 Minuten Durchschnittsgeschwindigkeit: 22 km/h",51.0176978281601,6.92864248803126
"A1","undefined--vi-avl.2025-05-29_09-55-30-000.f_008.de0","51.01769782816011,6.928642488031257,51.01769782816011,6.928642488031257","51.01769782816011,6.928642488031257","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"QUEUING_TRAFFIC","16","2025-05-29T12:05:23+02:00","Beginn: 29.05.25 um 12:05 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:05 A1: Köln -> Dortmund, 1.2 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Stockender Verkehr Durchschnittsgeschwindigkeit: 16 km/h",51.0176978281601,6.92864248803126
"A1","undefined--vi-avl.2025-05-29_12-03-11-000.f_003.de0","51.057412463081405,7.058637970616952,51.057412463081405,7.058637970616952","51.057412463081405,7.058637970616952","WARNING","A1 | Leverkusen - Leverkusen"," Dortmund -> Köln",NA,"SLOW_TRAFFIC","21","2025-05-29T12:03:11+02:00","Beginn: 29.05.25 um 12:03 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:03 A1: Dortmund -> Köln, 4.0 km vor AK Leverkusen, aus Richtung Burscheid  Langsamer Verkehr Durchschnittsgeschwindigkeit: 21 km/h",51.0574124630814,7.05863797061695
"A1","undefined--vi-avl.2025-05-29_12-00-00-000.f_010.de0","51.05867515915981,7.061586126660314,51.05867515915981,7.061586126660314","51.05867515915981,7.061586126660314","WARNING","A1 | Leverkusen - Leverkusen"," Dortmund -> Köln",NA,"QUEUING_TRAFFIC","18","2025-05-29T12:05:23+02:00","Beginn: 29.05.25 um 12:05 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 12:05 A1: Dortmund -> Köln, 4.3 km vor AK Leverkusen, aus Richtung Burscheid  Stockender Verkehr Durchschnittsgeschwindigkeit: 18 km/h",51.0586751591598,7.06158612666031
"A1","undefined--vi-avl.2025-05-29_11-52-15-000.f.de0","51.05867515915981,7.061586126660314,51.04803730161676,7.026511334197676","51.05867515915981,7.061586126660314","WARNING","A1 | Burscheid - Leverkusen"," Dortmund -> Köln",3,"QUEUING_TRAFFIC","36.5","2025-05-29T11:52:15+02:00","Beginn: 29.05.25 um 11:52 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 11:52 A1: Dortmund -> Köln, zwischen 5.8 km hinter AS Burscheid und 1.5 km vor AK Leverkusen  Stockender Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 36 km/h",51.0586751591598,7.06158612666031
"A1","undefined--vi-avl.2025-05-29_11-56-50-000.f_001.de0","51.057412463081405,7.058637970616952,51.04875526186538,7.0303855284657315","51.057412463081405,7.058637970616952","WARNING","A1 | Burscheid - Leverkusen"," Dortmund -> Köln",1,"SLOW_TRAFFIC","44.900001525878906","2025-05-29T11:56:50+02:00","Beginn: 29.05.25 um 11:56 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 11:56 A1: Dortmund -> Köln, zwischen 6.1 km hinter AS Burscheid und 1.8 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 44 km/h",51.0574124630814,7.05863797061695
