"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-hind.2025-05-26_16-43-57-000.f.de0","49.57915026096769,6.983165916860035,49.59564428784507,6.98793197423132","49.57915026096769,6.983165916860035","WARNING","A1 | Kastel - Nonnweiler-Otzenhausen"," Saarbrücken -> Trier",NA,NA,NA,2025-05-26,"Beginn: 26.05.25 um 16:43 Uhr  Hindernis, seit 26.05.2025, 16:43 A1: Saarbrücken -> Trier, zwischen 1.7 km hinter Kastel und 0.1 km vor AS Nonnweiler-Otzenhausen  Gefahr durch Gegenstände auf der Fahrbahn",49.5791502609677,6.98316591686003
"A1","undefined--vi-hind.2025-05-26_16-44-57-000.f_001.de0","50.674409600937956,6.736954799994689,50.675589338489004,6.738696705030119","50.674409600937956,6.736954799994689","WARNING","A1 | Wißkirchen - Euskirchen"," Blankenheim -> Köln",NA,NA,NA,2025-05-26,"Beginn: 26.05.25 um 16:44 Uhr  Fahrzeug-Hindernis, seit 26.05.2025, 16:44 A1: Blankenheim -> Köln, zwischen 3.2 km hinter AS Wißkirchen und 0.3 km vor AS Euskirchen Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",50.674409600938,6.73695479999469
"A1","undefined--vi-avl.2025-05-26_11-01-37-000.f_013.de0","50.83814004942476,6.797128310763142,50.85127070815324,6.80421886354102","50.83814004942476,6.797128310763142","WARNING","A1 | Erfttal - Ville"," Euskirchen -> Köln",2,"STATIONARY_TRAFFIC","26.100000381469727",2025-05-26,"Beginn: 26.05.25 um 11:01 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 11:01 A1: Euskirchen -> Köln, zwischen 2.6 km hinter AD Erfttal und 0.7 km vor Ville  Im Stillstand Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 26 km/h",50.8381400494248,6.79712831076314
"A1","undefined--vi-avl.2025-05-26_14-27-03-000.f_016.de0","50.83814004942476,6.797128310763142,50.83814004942476,6.797128310763142","50.83814004942476,6.797128310763142","WARNING","A1 | Hürth - Hürth"," Euskirchen -> Köln",NA,"STATIONARY_TRAFFIC","16",2025-05-26,"Beginn: 26.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 16:44 A1: Euskirchen -> Köln, 1.2 km vor AS Hürth, aus Richtung Erfttal  Im Stillstand Durchschnittsgeschwindigkeit: 16 km/h",50.8381400494248,6.79712831076314
"A1","undefined--vi-zus.2025-05-26_15-10-02-000.f_006.de0","50.82564274265681,6.785656057129072,50.77657821458116,6.815149239010113","50.82564274265681,6.785656057129072","WARNING","A1 | Hürth - Bliesheim"," Köln -> Euskirchen",2,"SLOW_TRAFFIC","59.5",2025-05-26,"Beginn: 26.05.25 um 15:10 Uhr  Zusammengesetzte Verkehrsinformation, seit 26.05.2025, 15:10 A1: Köln -> Euskirchen, zwischen 2.8 km hinter AS Hürth und 0.7 km vor AK Bliesheim  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 59 km/h",50.8256427426568,6.78565605712907
"A1","undefined--vi-hind.2025-05-26_16-26-05-000.f_001.de0","50.92819658110358,6.8469417423064405,50.97570727756167,6.850477228209054","50.92819658110358,6.8469417423064405","WARNING","A1 | Köln-West - Köln-Bocklemünd"," Euskirchen -> Köln",NA,NA,NA,2025-05-26,"Beginn: 26.05.25 um 16:26 Uhr  Hindernis, seit 26.05.2025, 16:26 A1: Euskirchen -> Köln, zwischen 0.3 km hinter AK Köln-West und 0.3 km vor AS Köln-Bocklemünd  Gefahr durch eine ungesicherte Unfallstelle",50.9281965811036,6.84694174230644
"A1","undefined--vi-avl.2025-05-26_16-44-57-000.f_028.de0","50.99318288491276,6.878064196558558,50.99318288491276,6.878064196558558","50.99318288491276,6.878064196558558","WARNING","A1 | Köln-Bocklemünd - Köln-Bocklemünd"," Köln -> Euskirchen",NA,"QUEUING_TRAFFIC","22",2025-05-26,"Beginn: 26.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 16:44 A1: Köln -> Euskirchen, 2.6 km vor AS Köln-Bocklemünd, aus Richtung Köln-Nord  Stockender Verkehr Durchschnittsgeschwindigkeit: 22 km/h",50.9931828849128,6.87806419655856
"A1","undefined--vi-avl.2025-05-26_16-12-13-000.f.de0","50.99316656694259,6.878011991087073,50.96368852121227,6.850577189528521","50.99316656694259,6.878011991087073","WARNING","A1 | Köln-Nord - Köln-Lövenich"," Köln -> Euskirchen",4,"QUEUING_TRAFFIC","41.70000076293945",2025-05-26,"Beginn: 26.05.25 um 16:12 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 16:12 A1: Köln -> Euskirchen, zwischen 1.0 km hinter AK Köln-Nord und 2.9 km vor AS Köln-Lövenich  Stockender Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 41 km/h",50.9931665669426,6.87801199108707
"A1","undefined--vi-avl.2025-05-26_13-34-04-000.f_002.de0","51.008281267074636,6.911947841362232,51.03744273585875,6.987579962706043","51.008281267074636,6.911947841362232","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",13,"STATIONARY_TRAFFIC","22.299999237060547",2025-05-26,"Beginn: 26.05.25 um 13:34 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 13:34 A1: Euskirchen -> Dortmund, zwischen 1.9 km hinter AK Köln-Nord und 1.5 km vor AK Leverkusen  Im Stillstand Reisezeitverlust: 13 Minuten Durchschnittsgeschwindigkeit: 22 km/h",51.0082812670746,6.91194784136223
"A1","undefined--vi-avl.2025-05-26_15-12-07-000.f_018.de0","51.008281267074636,6.911947841362232,51.008281267074636,6.911947841362232","51.008281267074636,6.911947841362232","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"STATIONARY_TRAFFIC","22",2025-05-26,"Beginn: 26.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 26.05.2025, 16:44 A1: Köln -> Dortmund, 2.8 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Im Stillstand Durchschnittsgeschwindigkeit: 22 km/h",51.0082812670746,6.91194784136223
