"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-unf.2025-05-29_14-51-05-000.f_002.de0","49.943112400941395,6.882148499995871,49.92210840094148,6.858325399995655","49.943112400941395,6.882148499995871","WARNING","A1 | Wittlich - Salmtal"," Köln/Koblenz -> Trier",NA,NA,NA,"2025-05-29T14:51:05+02:00","Beginn: 29.05.25 um 14:51 Uhr  Unfall, seit 29.05.2025, 14:51 A1: Köln/Koblenz -> Trier, zwischen 0.5 km hinter AK Wittlich und 0.1 km vor Salmtal",49.9431124009414,6.88214849999587
"A2","undefined--vi-avl.2025-05-29_09-06-00-000.f.de0","51.54575786315801,6.908227297706747,51.54137160193313,6.889782377425985","51.54575786315801,6.908227297706747","WARNING","A2 | Bottrop - Bottrop"," Dortmund -> Oberhausen",0,"SLOW_TRAFFIC","47.70000076293945","2025-05-29T09:06:00+02:00","Beginn: 29.05.25 um 09:06 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 09:06 A2: Dortmund -> Oberhausen, zwischen 0.8 km hinter AS Bottrop und 0.3 km vor Bottrop  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 47 km/h",51.545757863158,6.90822729770675
"A2","undefined--vi-hind.2025-05-29_15-23-00-000.f.de0","52.22029186754729,9.20148997540952,52.22029186754729,9.20148997540952","52.22029186754729,9.20148997540952","WARNING","A2 | Auetal Nord - Bernser Kirchweg"," Hannover -> Dortmund",NA,NA,NA,"2025-05-29T15:23:00+02:00","Beginn: 29.05.25 um 15:23 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:23 A2: Hannover -> Dortmund, zwischen 1.8 km hinter Auetal Nord und 2.4 km vor Bernser Kirchweg Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.2202918675473,9.20148997540952
"A2","undefined--vi-hind.2025-05-29_15-43-30-000.f_001.de0","52.22192990092886,11.050540700003118,52.21999703639568,11.055574090730355","52.22192990092886,11.050540700003118","WARNING","A2 | Waldkater - Lappwald Nord"," Braunschweig -> Magdeburg",NA,NA,NA,"2025-05-29T15:43:30+02:00","Beginn: 29.05.25 um 15:43 Uhr  Hindernis, seit 29.05.2025, 15:43 A2: Braunschweig -> Magdeburg, zwischen 0.4 km hinter Waldkater und 0.3 km vor Lappwald Nord  Gefahr durch Gegenstände auf der Fahrbahn",52.2219299009289,11.0505407000031
"A2","undefined--vi-avl.2025-05-29_15-44-05-000.f.de0","52.20510060364937,11.17716496183108,52.20171177848314,11.206019655484356","52.20510060364937,11.17716496183108","WARNING","A2 | Alleringersleben - Lorkberg"," Braunschweig -> Magdeburg",1,"SLOW_TRAFFIC","46.400001525878906","2025-05-29T15:44:05+02:00","Beginn: 29.05.25 um 15:44 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:44 A2: Braunschweig -> Magdeburg, zwischen 3.0 km hinter AS Alleringersleben und 2.8 km vor Lorkberg  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 46 km/h",52.2051006036494,11.1771649618311
"A3","undefined--vi-hind.2025-05-29_12-51-27-000.f_006.de0","48.770543048353616,13.041770595325909,48.81670712048355,12.946349181044098","48.770543048353616,13.041770595325909","WARNING","A3 | Manzing - Deggendorf"," Passau -> Nürnberg",NA,NA,NA,"2025-05-29T12:51:27+02:00","Beginn: 29.05.25 um 12:51 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 12:51 A3: Passau -> Nürnberg, zwischen 2.3 km hinter Manzing und 0.5 km vor AK Deggendorf Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",48.7705430483536,13.0417705953259
"A3","undefined--vi-hind.2025-05-29_15-40-34-000.f_001.de0","50.210339700940196,8.251349699999782,50.210339700940196,8.251349699999782","50.210339700940196,8.251349699999782","WARNING","A3 | Theißtal - Idstein"," Frankfurt -> Köln",NA,NA,NA,"2025-05-29T15:40:34+02:00","Beginn: 29.05.25 um 15:40 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:40 A3: Frankfurt -> Köln, zwischen 6.0 km hinter Theißtal und 0.1 km vor AS Idstein Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",50.2103397009402,8.25134969999978
"A3","undefined--vi-hind.2025-05-29_15-41-02-000.f_001.de0","50.9020263862311,7.139919755238314,50.90279774455004,7.137066386288713","50.9020263862311,7.139919755238314","WARNING","A3 | Königsforst - Königsforst"," Frankfurt -> Köln",NA,NA,NA,"2025-05-29T15:41:02+02:00","Beginn: 29.05.25 um 15:41 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:41 A3: Frankfurt -> Köln, zwischen 1.1 km hinter Königsforst und 2.6 km vor AS Königsforst Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",50.9020263862311,7.13991975523831
"A3","undefined--vi-hind.2025-05-29_15-20-14-000.f.de0","51.25840240093482,6.914443099996465,51.256898387323204,6.914100868926983","51.25840240093482,6.914443099996465","WARNING","A3 | Mettmann - Stindertal / Stinderhof"," Oberhausen -> Köln",NA,NA,NA,"2025-05-29T15:20:14+02:00","Beginn: 29.05.25 um 15:20 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:20 A3: Oberhausen -> Köln, zwischen 0.1 km hinter AS Mettmann und 2.2 km vor Stindertal / Stinderhof Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",51.2584024009348,6.91444309999646
"A4","undefined--vi-avl.2025-05-29_15-07-00-000.f.de0","50.89874118063319,6.9085534601752485,50.89212772911116,6.923158297032745","50.89874118063319,6.9085534601752485","WARNING","A4 | Köln-West - Köln-Eifeltor"," Heerlen/Aachen -> Köln",0,"SLOW_TRAFFIC","57.599998474121094","2025-05-29T15:07:00+02:00","Beginn: 29.05.25 um 15:07 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:07 A4: Heerlen/Aachen -> Köln, zwischen 5.4 km hinter AK Köln-West und 0.2 km vor AS Köln-Eifeltor  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 57 km/h",50.8987411806332,6.90855346017525
"A4","undefined--vi-avl.2025-05-29_08-45-30-000.f.de0","50.88434520093688,6.9625548999967215,50.88434520093688,6.9625548999967215","50.88434520093688,6.9625548999967215","WARNING","A4 | Köln-Eifeltor - Köln-Eifeltor"," Köln -> Heerlen/Aachen",NA,"STATIONARY_TRAFFIC","12","2025-05-29T15:47:00+02:00","Beginn: 29.05.25 um 15:47 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:47 A4: Köln -> Heerlen/Aachen, 2.8 km vor AS Köln-Eifeltor, aus Richtung Köln-Süd  Im Stillstand Durchschnittsgeschwindigkeit: 12 km/h",50.8843452009369,6.96255489999672
"A4","undefined--vi-avl.2025-05-29_07-13-00-000.f.de0","50.88434520093688,6.9625548999967215,50.89161438879782,6.924686714481266","50.88434520093688,6.9625548999967215","WARNING","A4 | Köln-Süd - Köln-Klettenberg"," Köln -> Heerlen/Aachen",4,"STATIONARY_TRAFFIC","30.399999618530273","2025-05-29T07:13:00+02:00","Beginn: 29.05.25 um 07:13 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 07:13 A4: Köln -> Heerlen/Aachen, zwischen 0.4 km hinter AK Köln-Süd und 1.3 km vor AS Köln-Klettenberg  Im Stillstand Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 30 km/h",50.8843452009369,6.96255489999672
"A4","undefined--vi-avl.2025-05-29_14-45-30-000.f.de0","50.9710836581378,7.555240563295273,50.9710836581378,7.555240563295273","50.9710836581378,7.555240563295273","WARNING","A4 | Morkepütz - Morkepütz"," Olpe -> Köln",NA,"STATIONARY_TRAFFIC","12","2025-05-29T15:48:07+02:00","Beginn: 29.05.25 um 15:48 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:48 A4: Olpe -> Köln, 0.3 km vor Morkepütz, aus Richtung Reichshof/Bergneustadt  Im Stillstand Durchschnittsgeschwindigkeit: 12 km/h",50.9710836581378,7.55524056329527
"A4","undefined--vi-hind.2025-05-29_14-57-45-000.f_001.de0","50.972866966930454,7.526228816689236,50.97597674618576,7.504019727742285","50.972866966930454,7.526228816689236","WARNING","A4 | Morkepütz - Hömeler Feld"," Olpe -> Köln",NA,NA,NA,"2025-05-29T14:57:45+02:00","Beginn: 29.05.25 um 14:57 Uhr  Hindernis, seit 29.05.2025, 14:57 A4: Olpe -> Köln, zwischen 1.8 km hinter Morkepütz und Hömeler Feld",50.9728669669305,7.52622881668924
"A4","undefined--vi-zus.2025-05-29_14-44-27-000.f.de0","50.971086006439755,7.5552974038882015,50.97436658497193,7.514876759914228","50.971086006439755,7.5552974038882015","WARNING","A4 | Reichshof/Bergneustadt - Hömeler Feld"," Olpe -> Köln",7,"STATIONARY_TRAFFIC","18.200000762939453","2025-05-29T14:44:27+02:00","Beginn: 29.05.25 um 14:44 Uhr  Zusammengesetzte Verkehrsinformation, seit 29.05.2025, 14:44 A4: Olpe -> Köln, zwischen 6.5 km hinter AS Reichshof/Bergneustadt und 0.8 km vor Hömeler Feld  Im Stillstand Reisezeitverlust: 7 Minuten Durchschnittsgeschwindigkeit: 18 km/h",50.9710860064398,7.5552974038882
"A4","undefined--vi-hind.2025-05-29_14-52-02-000.f_004.de0","51.00134292455807,10.405920684105153,51.00565072441539,10.270172242916153","51.00134292455807,10.405920684105153","WARNING","A4 | Eisenach-Ost - Eisenach-West"," Erfurt -> Bad Hersfeld",NA,NA,NA,"2025-05-29T14:52:02+02:00","Beginn: 29.05.25 um 14:52 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 14:52 A4: Erfurt -> Bad Hersfeld, zwischen 0.1 km hinter AS Eisenach-Ost und 0.2 km vor AS Eisenach-West Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",51.0013429245581,10.4059206841052
"A4","undefined--vi-avl.2025-05-29_15-41-30-000.f.de0","51.061239632930274,13.508937548867523,51.05943819806589,13.477045625921196","51.061239632930274,13.508937548867523","WARNING","A4 | Wilsdruff - Nossen"," Dresden -> Chemnitz",1,"SLOW_TRAFFIC","51.79999923706055","2025-05-29T15:41:30+02:00","Beginn: 29.05.25 um 15:41 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:41 A4: Dresden -> Chemnitz, zwischen 1.2 km hinter AS Wilsdruff und 8.0 km vor AD Nossen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 51 km/h",51.0612396329303,13.5089375488675
"A5","undefined--vi-hind.2025-05-29_15-27-00-000.f_001.de0","48.11203744239056,7.7887941703626264,48.064314924619765,7.8121163920347625","48.11203744239056,7.7887941703626264","WARNING","A5 | Teningen - Freiburg-Nord"," Karlsruhe -> Basel",NA,NA,NA,"2025-05-29T15:27:00+02:00","Beginn: 29.05.25 um 15:27 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:27 A5: Karlsruhe -> Basel, zwischen 0.4 km hinter AS Teningen und 0.3 km vor AS Freiburg-Nord Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",48.1120374423906,7.78879417036263
"A5","undefined--vi-zus.2025-05-29_15-44-05-000.f.de0","48.08267555456316,7.8016867483765395,48.0625053488513,7.81242976205476","48.08267555456316,7.8016867483765395","WARNING","A5 | Teningen - Freiburg-Nord"," Karlsruhe -> Basel",1,"SLOW_TRAFFIC","51.900001525878906","2025-05-29T15:44:05+02:00","Beginn: 29.05.25 um 15:44 Uhr  Zusammengesetzte Verkehrsinformation, seit 29.05.2025, 15:44 A5: Karlsruhe -> Basel, zwischen 3.8 km hinter AS Teningen und 0.1 km vor AS Freiburg-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 51 km/h  Gefahr durch ein defektes Fahrzeugs auf der Fahrbahn",48.0826755545632,7.80168674837654
"A5","undefined--vi-hind.2025-05-29_15-20-42-000.f_002.de0","48.361811777383714,7.797682075733227,48.46975840526116,7.90466463087066","48.361811777383714,7.797682075733227","WARNING","A5 | Lahr - Offenburg"," Basel -> Karlsruhe",NA,NA,NA,"2025-05-29T15:20:42+02:00","Beginn: 29.05.25 um 15:20 Uhr  Hindernis, seit 29.05.2025, 15:20 A5: Basel -> Karlsruhe, zwischen 0.3 km hinter AS Lahr und 0.2 km vor AS Offenburg  Gefahr durch Gegenstände auf der Fahrbahn",48.3618117773837,7.79768207573323
"A5","undefined--vi-hind.2025-05-29_15-46-00-000.f_002.de0","49.39784231360519,8.63803494031085,49.399527245816685,8.637814845357433","49.39784231360519,8.63803494031085","WARNING","A5 | Heidelberg/Schwetzingen - Heidelberg"," Karlsruhe -> Darmstadt",NA,NA,NA,"2025-05-29T15:46:00+02:00","Beginn: 29.05.25 um 15:46 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:46 A5: Karlsruhe -> Darmstadt, zwischen 3.1 km hinter AS Heidelberg/Schwetzingen und 2.1 km vor AK Heidelberg Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",49.3978423136052,8.63803494031085
"A7","undefined--vi-zus.2025-05-29_15-43-00-000.f.de0","47.56743705942547,10.658961639081179,47.57538933115995,10.661761037364318","47.56743705942547,10.658961639081179","WARNING","A7 | Grenztunnel Füssen - Reinertshofertunnel"," Füssen/Reutte -> Ulm",4,"STATIONARY_TRAFFIC","10.199999809265137","2025-05-29T15:43:00+02:00","Beginn: 29.05.25 um 15:43 Uhr  Zusammengesetzte Verkehrsinformation, seit 29.05.2025, 15:43 A7: Füssen/Reutte -> Ulm, zwischen 0.9 km hinter Grenztunnel Füssen und 2.9 km vor Reinertshofertunnel  Im Stillstand Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 10 km/h",47.5674370594255,10.6589616390812
"A7","undefined--vi-avl.2025-05-29_15-46-00-000.f.de0","47.56010820034103,10.657021495654917,47.56745471700362,10.658966743090671","47.56010820034103,10.657021495654917","WARNING","A7 | Grenztunnel Füssen - Füssen"," Füssen/Reutte -> Ulm",0,"SLOW_TRAFFIC","40.20000076293945","2025-05-29T15:46:00+02:00","Beginn: 29.05.25 um 15:46 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:46 A7: Füssen/Reutte -> Ulm, zwischen 0.1 km hinter Grenztunnel Füssen und 0.7 km vor AS Füssen  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 40 km/h",47.560108200341,10.6570214956549
"A7","undefined--vi-avl.2025-05-29_15-45-30-000.f_002.de0","47.56745471700362,10.658966743090671,47.56745471700362,10.658966743090671","47.56745471700362,10.658966743090671","WARNING","A7 | Füssen - Füssen"," Füssen/Reutte -> Ulm",NA,"STATIONARY_TRAFFIC","5","2025-05-29T15:48:07+02:00","Beginn: 29.05.25 um 15:48 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:48 A7: Füssen/Reutte -> Ulm, 0.7 km vor AS Füssen, aus Richtung Grenztunnel Füssen  Im Stillstand Durchschnittsgeschwindigkeit: 5 km/h",47.5674547170036,10.6589667430907
"A7","undefined--vi-hind.2025-05-29_15-30-30-000.f_002.de0","47.65316013715616,10.467745797949524,47.65342620094852,10.466118800000931","47.65316013715616,10.467745797949524","WARNING","A7 | Nesselwang - Oy-Mittelberg"," Füssen/Reutte -> Ulm",NA,NA,NA,"2025-05-29T15:30:30+02:00","Beginn: 29.05.25 um 15:30 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:30 A7: Füssen/Reutte -> Ulm, zwischen 4.9 km hinter AS Nesselwang und 0.1 km vor AS Oy-Mittelberg Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",47.6531601371562,10.4677457979495
"A7","undefined--vi-avl.2025-05-29_13-52-38-000.f.de0","48.17322572251446,10.1303474789411,48.026840895637484,10.131445045825146","48.17322572251446,10.1303474789411","WARNING","A7 | Badhauser Wald-Ost - Aumühle"," Ulm -> Füssen/Reutte",20,"QUEUING_TRAFFIC","36.5","2025-05-29T13:52:38+02:00","Beginn: 29.05.25 um 13:52 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 13:52 A7: Ulm -> Füssen/Reutte, zwischen 0.7 km hinter Badhauser Wald-Ost und 1.6 km vor Aumühle  Stockender Verkehr Reisezeitverlust: 20 Minuten Durchschnittsgeschwindigkeit: 36 km/h",48.1732257225145,10.1303474789411
"A7","undefined--vi-avl.2025-05-29_13-52-38-000.f_006.de0","48.20845787712371,10.123130387823448,48.18067347816676,10.127213051864365","48.20845787712371,10.123130387823448","WARNING","A7 | Illertissen - Badhauser Wald-Ost"," Ulm -> Füssen/Reutte",1,"SLOW_TRAFFIC","57.599998474121094","2025-05-29T13:52:38+02:00","Beginn: 29.05.25 um 13:52 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 13:52 A7: Ulm -> Füssen/Reutte, zwischen 1.3 km hinter AS Illertissen und 0.1 km vor Badhauser Wald-Ost  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 57 km/h",48.2084578771237,10.1231303878234
"A7","undefined--vi-avl.2025-05-29_11-37-25-000.f_020.de0","48.264842237875676,10.114852937637584,48.2281504969331,10.124974025891017","48.264842237875676,10.114852937637584","WARNING","A7 | Reutelsberger Forst - Illertissen"," Ulm -> Füssen/Reutte",3,"QUEUING_TRAFFIC","44.900001525878906","2025-05-29T11:37:25+02:00","Beginn: 29.05.25 um 11:37 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 11:37 A7: Ulm -> Füssen/Reutte, zwischen 0.3 km hinter Reutelsberger Forst und 0.9 km vor AS Illertissen  Stockender Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 44 km/h",48.2648422378757,10.1148529376376
"A7","undefined--vi-avl.2025-05-29_14-14-21-000.f_009.de0","50.373253366469285,9.732496175902485,50.373253366469285,9.732496175902485","50.373253366469285,9.732496175902485","WARNING","A7 | Speicherz - Speicherz"," Fulda -> Würzburg",NA,"STATIONARY_TRAFFIC","2","2025-05-29T15:48:07+02:00","Beginn: 29.05.25 um 15:48 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 15:48 A7: Fulda -> Würzburg, 3.6 km vor Speicherz, aus Richtung Am Forsthaus  Im Stillstand Durchschnittsgeschwindigkeit: 2 km/h",50.3732533664693,9.73249617590248
"A7","undefined--vi-zus.2025-05-29_14-10-15-000.f.de0","50.37305660245702,9.73246380935135,50.323594841446116,9.819467697930603","50.37305660245702,9.73246380935135","WARNING","A7 | Am Forsthaus - Riedenberg"," Fulda -> Würzburg",36,"STATIONARY_TRAFFIC","13.300000190734863","2025-05-29T14:10:15+02:00","Beginn: 29.05.25 um 14:10 Uhr  Zusammengesetzte Verkehrsinformation, seit 29.05.2025, 14:10 A7: Fulda -> Würzburg, zwischen 1.2 km hinter Am Forsthaus und 2.8 km vor Riedenberg  Im Stillstand Reisezeitverlust: 36 Minuten Durchschnittsgeschwindigkeit: 13 km/h",50.373056602457,9.73246380935135
"A7","undefined--vi-hind.2025-05-29_15-40-34-000.f.de0","52.159329472797964,9.988549329051802,52.16101617932882,9.987720321906947","52.159329472797964,9.988549329051802","WARNING","A7 | Hildesheimer Börde - Hildesheim"," Kassel -> Hannover",NA,NA,NA,"2025-05-29T15:40:34+02:00","Beginn: 29.05.25 um 15:40 Uhr  Fahrzeug-Hindernis, seit 29.05.2025, 15:40 A7: Kassel -> Hannover, zwischen 6.3 km hinter Hildesheimer Börde und AS Hildesheim Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.159329472798,9.9885493290518
"A7","undefined--vi-avl.2025-05-29_11-45-57-000.f_040.de0","52.87990910487916,9.752365331092447,52.917508230394034,9.805411439389992","52.87990910487916,9.752365331092447","WARNING","A7 | Rummelsburg - Soltau-Süd"," Hannover -> Hamburg",4,"SLOW_TRAFFIC","43.599998474121094","2025-05-29T11:45:57+02:00","Beginn: 29.05.25 um 11:45 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 11:45 A7: Hannover -> Hamburg, zwischen 1.6 km hinter Rummelsburg und 5.9 km vor AS Soltau-Süd  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 43 km/h",52.8799091048792,9.75236533109245
"A7","undefined--vi-avl.2025-05-29_11-45-57-000.f_014.de0","52.933598476962885,9.845996649273244,52.95870626518791,9.892567184957985","52.933598476962885,9.845996649273244","WARNING","A7 | Dorfmark - Vorm Wietzenbruch"," Hannover -> Hamburg",3,"QUEUING_TRAFFIC","42.400001525878906","2025-05-29T11:45:57+02:00","Beginn: 29.05.25 um 11:45 Uhr  Angespannte Verkehrslage, seit 29.05.2025, 11:45 A7: Hannover -> Hamburg, zwischen 5.0 km hinter Dorfmark und 0.3 km vor Vorm Wietzenbruch  Stockender Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 42 km/h",52.9335984769629,9.84599664927324
